Case,Sample_ID,Sample_Code,Site_ID,Batch,Sample_type,Site.name,Pond,Pond_L,Site_type,Time_point,Month,Date,Time,Temp.C,pH,ORP_mV,EC.uS.cm,DO,Ca,K,Mg,Na,Cl,NO3,SO4,6_Li,7_Li,7_Li_He,9_Be,11_B,27_Al,45_Sc,47_Ti_,51_V_He,52_Cr_He,55_Mn,56_Fe_He,59_Co,60_Ni,63_Cu,68_Zn,65_Ga,74_Ge,75_As_He,78_Se,85_Rb,88_Sr,89_Y,90_Zr,93_Nb,97_Mo,98_Mo,111_Cd,114_Cd,115_In,123_Sb,125_Te,133_Cs,135_Ba,139_La,140_Ce,141_Pr,146_Nd,147_Sm,153_Eu,157_Gd,159_Tb,163_Dy,165_Ho,166_Er,169_Tm,172_Yb,175_Lu,181_Ta,182_W,200_Hg,201_Hg,202_Hg,205_Tl,206_Pb,207_Pb,209_Bi,232_Th,238_U
109,SGG109,109,12,6,Sample,Cefn Hengoed,11,eleven,FeOB-rich,1,December,42712,0.423611111,11.4,6.65,,803,1.1,2.208194022,0.250650284,1.143797573,0.813405267,0.370634677,0.011450701,1.998675877,0.005974905,0.00489245,0.004194085,1.07E-06,0.003644792,0,1.42E-05,4.88E-06,0,0,0.009253222,0.051602449,5.54E-05,9.63E-05,0,7.40E-05,7.79E-06,0,2.15E-05,2.46E-05,5.42E-05,0.008013444,4.32E-07,0,0,0,1.45E-06,0,0,0,0,2.55E-07,3.47E-07,0.00018993,9.59E-08,1.63E-07,1.47E-08,8.96E-08,1.01E-09,3.52E-08,1.10E-08,2.23E-09,1.69E-08,2.80E-09,3.98E-09,0,1.40E-08,2.13E-09,0,0,5.64E-09,0,0,1.21E-07,0,0,0,0,3.62E-07
110,SGG110,110,12,6,Sample,Cefn Hengoed,11,eleven,FeOB-rich,2,December,42712,0.434027778,11.4,6.5,,797.5,0.9,2.170767004,0.263438564,1.090310636,0.791656463,0.369506413,0.011128146,1.996593923,0.006075688,0.004991674,0.004457995,1.34E-06,0.003708665,0,1.40E-05,6.14E-06,0,0,0.009404231,0.05086214,5.65E-05,9.55E-05,0,3.11E-05,7.37E-06,0,2.15E-05,2.37E-05,5.46E-05,0.008071781,4.33E-07,0,0,0,1.83E-06,0,0,0,0,2.24E-07,3.22E-07,0.000188341,8.10E-08,1.23E-07,1.68E-08,7.99E-08,2.11E-08,3.36E-08,2.29E-08,1.50E-09,9.41E-09,2.71E-09,1.06E-08,0,6.43E-09,2.72E-09,0,4.12E-06,1.33E-07,0,4.49E-08,1.29E-07,0,0,0,0,3.59E-07
111,SGG111,111,12,6,Sample,Cefn Hengoed,11,eleven,FeOB-rich,3,December,42712,0.444444444,11.4,6.59,,795.7,0.5,2.195718349,0.245534972,1.069738737,0.796006224,0.368660215,0.011289423,1.976294871,0.006100025,0.004935141,0.004595315,1.24E-06,0.003725026,0,1.44E-05,4.87E-06,0,0,0.009270119,0.050832987,5.48E-05,9.45E-05,0,5.04E-05,7.55E-06,0,2.29E-05,2.15E-05,5.47E-05,0.008061217,4.28E-07,0,0,0,1.32E-06,0,0,0,0,2.06E-07,3.33E-07,0.000183877,5.47E-08,8.65E-08,8.27E-09,7.25E-08,0,3.41E-08,1.83E-08,2.08E-09,1.67E-08,2.14E-09,1.32E-08,1.99E-09,1.19E-08,2.66E-09,0,0,9.43E-09,2.32E-09,9.69E-09,1.25E-07,0,0,0,0,3.68E-07
112,SGG112,112,13,6,Sample,Blaenavon,12,twelve_MCM,FeOB-rich,1,December,42712,0.534722222,10.3,6.7,,623.6,95.1,1.210140227,0.358071834,0.92285538,0.439325839,0.489384447,0.022740124,1.793603404,0.009984602,0.008130118,0.007870521,1.29E-06,0.004570185,0,1.14E-05,2.23E-06,0,0,0.032093395,0.083411122,0.000242206,0.000468374,0,0.000143752,7.69E-06,0,5.43E-06,3.07E-05,0.000125288,0.004117323,1.16E-06,0,0,6.23E-06,7.24E-06,0,0,0,6.16E-07,6.88E-08,7.81E-07,0.000189438,2.81E-08,1.47E-08,2.44E-09,2.85E-08,8.24E-09,3.44E-08,2.63E-08,6.54E-09,8.42E-08,2.75E-08,9.17E-08,1.14E-08,1.23E-07,2.00E-08,0,0,1.97E-08,0,8.57E-09,5.15E-08,0,0,0,0,4.54E-07
113,SGG113,113,13,7,Sample,Blaenavon,12,twelve_MCM,FeOB-rich,2,December,42712,0.548611111,10.2,6.68,,623.9,94.5,1.43470233,0.363187146,0.92285538,0.448025361,0.488820316,0.023869066,1.818586853,0.009808228,0.007994248,0.007422388,1.50E-06,0.004425674,0,1.13E-05,2.74E-06,2.01E-07,0,0.031455155,0.085157773,0.000250631,0.00046252,0,0.000119112,7.54E-06,0,5.46E-06,2.86E-05,0.000123923,0.004017944,1.18E-06,0,0,6.14E-06,6.52E-06,9.26E-09,0,0,5.77E-07,6.71E-08,7.83E-07,0.000186686,2.01E-08,3.13E-08,4.06E-09,4.82E-08,0,3.65E-08,2.37E-08,7.44E-09,9.14E-08,2.47E-08,1.19E-07,1.15E-08,1.23E-07,2.16E-08,0,0,8.49E-09,0,1.51E-08,4.87E-08,0,0,0,0,4.32E-07
114,SGG114,114,13,7,Sample,Blaenavon,12,twelve_MCM,FeOB-rich,3,December,42712,0.5625,10.2,6.88,,624.1,94.4,1.409750986,0.350398866,0.932729891,0.465424404,0.486281722,0.023707788,1.75664872,0.009716091,0.007850171,0.008070665,1.64E-06,0.004366372,0,1.11E-05,1.69E-07,2.50E-07,0,0.031657356,0.085078742,0.000244007,0.000460955,0,0.00010247,7.38E-06,0,5.21E-06,3.02E-05,0.000123994,0.004004773,1.16E-06,0,0,6.35E-06,7.21E-06,0,0,0,5.66E-07,1.00E-07,8.01E-07,0.00018595,4.14E-08,4.71E-09,3.89E-09,5.19E-08,2.97E-10,4.75E-08,2.62E-08,8.75E-09,8.95E-08,2.55E-08,1.19E-07,1.39E-08,9.87E-08,1.96E-08,0,0,0,0,0,5.56E-08,0,0,0,0,4.42E-07
115,SGG115,115,8,7,Sample,Crumlin Navigation,12,twelve,SOB-rich,1,December,42712,0.614583333,19.7,6.98,,2178,66.6,4.229252957,1.127926278,1.878214359,12.44031584,0.582466216,0,2.496262893,0.04648207,0.037231953,0.033631994,1.79E-06,0.021992704,0,1.78E-05,1.28E-05,2.69E-06,9.16E-07,0.006252266,0.002125784,4.49E-06,1.42E-05,0,0.000102545,0.000118037,0,7.76E-07,4.15E-05,0.000289848,0.019080728,1.38E-06,2.78E-06,0,0,0,0,0,0,0,6.69E-07,1.59E-06,0.002783826,1.24E-07,2.25E-07,2.52E-08,2.00E-07,2.65E-08,5.06E-07,8.30E-08,1.12E-08,7.80E-08,1.69E-08,5.05E-08,7.47E-09,3.78E-08,1.10E-08,0,0,4.49E-07,4.18E-07,4.47E-07,0,0,0,0,0,2.69E-07
116,SGG116,116,8,7,Sample,Crumlin Navigation,12,twelve,SOB-rich,2,December,42712,0.628472222,18.6,7.08,,2207,53.3,4.216777284,1.237905484,1.892614688,12.67955269,0.548336234,0.020643516,2.815842837,0.047988072,0.037995572,0.033513555,1.38E-06,0.022983637,0,1.92E-05,1.62E-05,2.89E-06,6.65E-07,0.006217484,0.001470298,3.85E-06,1.51E-05,0,0.0001213,0.000125519,0,5.76E-07,4.76E-05,0.000294737,0.019161278,1.41E-06,2.68E-06,0,0,0,0,0,0,0,6.89E-07,1.69E-06,0.002903448,1.43E-07,2.68E-07,3.15E-08,1.80E-07,4.79E-08,5.32E-07,1.05E-07,1.21E-08,9.99E-08,1.82E-08,5.17E-08,4.39E-09,5.94E-08,8.97E-09,0,0,4.69E-07,4.42E-07,4.38E-07,0,0,0,3.16E-09,0,2.81E-07
117,SGG117,117,8,7,Sample,Crumlin Navigation,12,twelve,SOB-rich,3,December,42712,0.642361111,19.2,7.12,,2201,60.7,4.266679974,1.248136108,1.919358157,12.61430628,0.554541685,0.020643516,2.801269159,0.047431862,0.038580818,0.034506523,2.01E-06,0.021983882,0,1.94E-05,1.50E-05,2.15E-06,3.47E-07,0.006219276,0.001110256,3.94E-06,1.52E-05,0,6.97E-05,8.42E-05,0,7.43E-07,5.24E-05,0.000284358,0.018875171,1.37E-06,4.37E-06,0,0,0,0,0,0,0,6.64E-07,1.66E-06,0.00194523,1.11E-07,1.47E-07,3.12E-08,1.86E-07,2.94E-08,3.39E-07,1.02E-07,1.01E-08,7.91E-08,1.70E-08,5.95E-08,6.94E-09,5.14E-08,8.74E-09,0,0,7.20E-07,7.28E-07,7.22E-07,0,0,0,0,0,2.55E-07
118,SGG118,118,10,7,Sample,Six Bells,12,twelve,SOB-rich,1,December,42712,0.672916667,18.5,6.8,,2740,60.3,4.815609561,1.869646506,2.742234108,14.65869385,0.708267635,0.020966071,10.9302587,0.047232617,0.038186275,0.033758173,2.94E-07,0.024232901,0,1.89E-05,1.13E-05,0,0,0.009712428,0.000520745,7.95E-06,3.07E-05,0,3.97E-05,9.61E-06,0,5.37E-06,3.95E-05,0.000390402,0.019688561,2.31E-07,5.00E-06,4.11E-07,6.46E-06,6.41E-06,0,0,0,3.01E-07,5.00E-07,2.39E-06,0.000232818,8.09E-08,1.59E-07,1.69E-08,4.74E-08,0,4.30E-08,1.76E-08,1.33E-09,1.07E-08,4.37E-10,6.61E-09,0,0,2.49E-09,0,0,5.60E-08,5.70E-08,7.17E-08,0,0,0,0,3.62E-08,3.30E-06
119,SGG119,119,10,7,Sample,Six Bells,12,twelve,SOB-rich,2,December,42712,0.683333333,18.5,6.87,,2741,60.1,4.865512251,1.890107754,2.777206336,14.9414283,0.711934493,0.020804794,10.99271732,0.046722909,0.037478011,0.033699529,2.70E-07,0.023479602,0,1.83E-05,1.02E-05,0,0,0.00908292,0.000232,6.84E-06,2.90E-05,0,6.44E-05,9.13E-06,0,6.59E-06,3.87E-05,0.000400129,0.020288542,2.20E-07,2.39E-07,2.25E-07,6.36E-06,6.89E-06,0,0,0,2.32E-07,7.92E-07,2.41E-06,0.000218581,4.61E-08,2.15E-08,5.90E-09,2.63E-08,0,3.02E-08,1.53E-08,0,4.14E-09,1.50E-10,2.02E-09,0,2.32E-09,1.29E-09,0,0,1.36E-07,1.40E-07,1.11E-07,0,0,0,0,0,3.21E-06
120,SGG120,120,10,7,Sample,Six Bells,12,twelve,SOB-rich,3,December,42712,0.69375,18.5,6.86,,2741,60,4.840560906,1.846627603,2.703147501,14.419457,0.685138226,0.020804794,10.87820985,0.046314698,0.037103153,0.033838384,4.06E-07,0.023601424,0,1.77E-05,8.14E-06,0,0,0.008699411,2.38E-05,7.42E-06,2.74E-05,0,1.81E-05,9.37E-06,0,6.70E-06,4.57E-05,0.000386313,0.019562623,2.22E-07,0,1.05E-07,6.08E-06,7.29E-06,0,0,0,2.01E-07,4.36E-07,2.39E-06,0.000222786,2.70E-08,3.71E-08,4.31E-09,3.47E-08,0,4.07E-08,1.15E-08,6.39E-10,8.92E-09,8.47E-10,7.65E-09,0,3.82E-09,1.23E-09,0,0,1.78E-07,1.44E-07,1.25E-07,0,0,0,0,0,3.19E-06
,,P1,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P2,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P4,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S1,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S2,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S3,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S4,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
